version	cc	vec	tcm	turns	signalLen	kernelLen	threads	time(ms)	std(%)
v5	icc	novec	tcm	500	32000	4000	8	2225.0	3.6
v5	icc	novec	tcm	500	56000	4000	14	2899.0	3.8
v5	icc	novec	tcm	500	112000	4000	28	4548.3	2.1
v5	icc	novec	tcm	500	224000	4000	56	10947.7	1.7
v5	icc	vec	notcm	500	4000	4000	1	1764.0	1.9
v5	icc	vec	notcm	500	8000	4000	2	1642.3	0.2
v5	icc	vec	notcm	500	16000	4000	4	1758.0	0.4
v5	icc	vec	notcm	500	32000	4000	8	2258.3	3.2
v5	icc	vec	notcm	500	56000	4000	14	3066.7	4.7
v5	icc	vec	notcm	500	112000	4000	28	4512.0	3.1
v5	icc	vec	notcm	500	224000	4000	56	10793.7	2.1
v5	icc	vec	tcm	500	4000	4000	1	1715.7	2.5
v5	icc	vec	tcm	500	8000	4000	2	1657.0	0.4
v5	icc	vec	tcm	500	16000	4000	4	1835.0	1.8
v5	icc	vec	tcm	500	32000	4000	8	2280.7	0.4
v5	icc	vec	tcm	500	56000	4000	14	2982.3	1.1
v5	icc	vec	tcm	500	112000	4000	28	4717.7	0.0
v5	icc	vec	tcm	500	224000	4000	56	11209.3	0.3
v7	g++	novec	notcm	500	4000	4000	1	12157.0	0.1
v7	g++	novec	notcm	500	8000	4000	2	12233.0	0.1
v7	g++	novec	notcm	500	16000	4000	4	15213.7	0.1
v7	g++	novec	notcm	500	32000	4000	8	13723.3	0.1
v7	g++	novec	notcm	500	56000	4000	14	13060.7	0.1
v7	g++	novec	notcm	500	112000	4000	28	12718.0	0.0
v7	g++	novec	notcm	500	224000	4000	56	17952.7	0.2
v7	g++	vec	notcm	500	4000	4000	1	19944.7	0.0
v7	g++	vec	notcm	500	8000	4000	2	20040.7	0.1
v7	g++	vec	notcm	500	16000	4000	4	25071.3	0.0
v7	g++	vec	notcm	500	32000	4000	8	22596.7	0.1
v7	g++	vec	notcm	500	56000	4000	14	21532.3	0.0
v7	g++	vec	notcm	500	112000	4000	28	20878.0	0.1
v7	g++	vec	notcm	500	224000	4000	56	20751.3	0.1
v7	icc	novec	notcm	500	4000	4000	1	12032.0	0.0
v7	icc	novec	notcm	500	8000	4000	2	12123.3	0.3
v7	icc	novec	notcm	500	16000	4000	4	15082.3	0.1
v7	icc	novec	notcm	500	32000	4000	8	13580.0	0.0
v7	icc	novec	notcm	500	56000	4000	14	12947.0	0.0
v7	icc	novec	notcm	500	112000	4000	28	12740.0	1.9
v7	icc	novec	notcm	500	224000	4000	56	13004.3	0.2
v7	icc	vec	notcm	500	4000	4000	1	1501.0	0.2
v7	icc	vec	notcm	500	8000	4000	2	1533.3	0.5
v7	icc	vec	notcm	500	16000	4000	4	1828.0	0.1
v7	icc	vec	notcm	500	32000	4000	8	1656.3	0.1
v7	icc	vec	notcm	500	56000	4000	14	1551.3	0.0
v7	icc	vec	notcm	500	112000	4000	28	1503.3	0.1
v7	icc	vec	notcm	500	224000	4000	56	2616.3	0.8
v8	icc	novec	notcm	500	4000	4000	1	908.3	0.3
v8	icc	novec	notcm	500	8000	4000	2	914.7	0.2
v8	icc	novec	notcm	500	16000	4000	4	1082.3	3.9
v8	icc	novec	notcm	500	32000	4000	8	1588.0	3.9
v8	icc	novec	notcm	500	56000	4000	14	2046.0	3.0
v8	icc	novec	notcm	500	112000	4000	28	3490.0	4.1
v8	icc	novec	notcm	500	224000	4000	56	9432.7	3.8
v8	icc	novec	tcm	500	4000	4000	1	870.0	0.1
v8	icc	novec	tcm	500	8000	4000	2	909.7	0.1
v8	icc	novec	tcm	500	16000	4000	4	1056.7	3.3
v8	icc	novec	tcm	500	32000	4000	8	1553.0	5.0
v8	icc	novec	tcm	500	56000	4000	14	2070.0	5.0
v8	icc	novec	tcm	500	112000	4000	28	3547.7	1.4
v8	icc	novec	tcm	500	224000	4000	56	9571.0	1.9
v8	icc	vec	notcm	500	4000	4000	1	904.7	0.1
v8	icc	vec	notcm	500	8000	4000	2	912.0	0.3
v8	icc	vec	notcm	500	16000	4000	4	1179.0	1.5
v8	icc	vec	notcm	500	32000	4000	8	1572.0	2.7
v8	icc	vec	notcm	500	56000	4000	14	2096.3	3.8
v8	icc	vec	notcm	500	112000	4000	28	3627.3	0.5
v8	icc	vec	notcm	500	224000	4000	56	9563.0	1.4
v8	icc	vec	tcm	500	4000	4000	1	874.3	0.4
v8	icc	vec	tcm	500	8000	4000	2	911.0	0.2
v8	icc	vec	tcm	500	16000	4000	4	1049.0	1.5
v8	icc	vec	tcm	500	32000	4000	8	1545.3	1.5
v8	icc	vec	tcm	500	56000	4000	14	1984.3	3.4
v8	icc	vec	tcm	500	112000	4000	28	3634.7	1.6
v8	icc	vec	tcm	500	224000	4000	56	9645.0	1.5
