metric	total
time(s)	2.491
time.contribution%	100.0
calls	5000.0
cpi	1.282
ipc	0.78
front_bound%	2.955
front_bound.contribution%	2.955
bad_speculation%	0.0
bad_speculation.contribution%	0.0
retiring%	17.727
retiring.contribution%	17.727
be_bound%	79.318
be_bound.contribution%	79.318
core_bound%	10.983
core_bound.contribution%	10.983
mem_bound%	68.336
mem_bound.contribution%	68.336
l1_bound%	0.0
l3_latency%	8.635
l3_latency.contribution%	8.635
l3_data_sharing%	0.0
l3_data_sharing.contribution%	0.0
l3_contested_accesses%	0.0
l3_contested_accesses.contribution%	0.0
store_bound%	0.0
store_bound.contribution%	0.0
local_dram_bound%	0.0
local_dram_bound.contribution%	0.0
remote_dram_bound%	0.0
remote_dram_bound.contribution%	0.0
be_bound_at_exe%	67.273
resource_stalls_cost%	70.0
resource_stalls_cost.contribution%	70.0
instructions	3.77e+09
cycles	4.84e+09
