metric	total
time(s)	0.516
time.contribution%	100.0
calls	5000.0
cpi	1.305
ipc	0.766
front_bound%	0.0
front_bound.contribution%	0.0
bad_speculation%	38.5
bad_speculation.contribution%	38.5
retiring%	4.4
retiring.contribution%	4.4
be_bound%	57.1
be_bound.contribution%	57.1
core_bound%	57.1
core_bound.contribution%	57.1
mem_bound%	0.0
mem_bound.contribution%	0.0
l1_bound%	0.0
l3_latency%	19.836
l3_latency.contribution%	19.836
l3_data_sharing%	0.0
l3_data_sharing.contribution%	0.0
l3_contested_accesses%	0.0
l3_contested_accesses.contribution%	0.0
store_bound%	0.0
store_bound.contribution%	0.0
local_dram_bound%	0.0
local_dram_bound.contribution%	0.0
remote_dram_bound%	0.0
remote_dram_bound.contribution%	0.0
be_bound_at_exe%	35.2
resource_stalls_cost%	167.2
resource_stalls_cost.contribution%	167.2
instructions	7.66e+08
cycles	1.00e+09
