metric	total
time(s)	1.007
time.contribution%	100.0
calls	5000.0
cpi	1.277
ipc	0.783
front_bound%	2.273
front_bound.contribution%	2.273
bad_speculation%	0.0
bad_speculation.contribution%	0.0
retiring%	22.159
retiring.contribution%	22.159
be_bound%	75.568
be_bound.contribution%	75.568
core_bound%	9.446
core_bound.contribution%	9.446
mem_bound%	66.122
mem_bound.contribution%	66.122
l1_bound%	2.273
l3_latency%	10.322
l3_latency.contribution%	10.322
l3_data_sharing%	0.0
l3_data_sharing.contribution%	0.0
l3_contested_accesses%	0.0
l3_contested_accesses.contribution%	0.0
store_bound%	0.0
store_bound.contribution%	0.0
local_dram_bound%	0.0
local_dram_bound.contribution%	0.0
remote_dram_bound%	0.0
remote_dram_bound.contribution%	0.0
be_bound_at_exe%	81.818
resource_stalls_cost%	84.091
resource_stalls_cost.contribution%	84.091
instructions	1.52e+09
cycles	1.94e+09
