version	cc	vec	tcm	turns	signalLen	kernelLen	threads	time(ms)	std(%)
v7	nvcc	na	na	500	1400000	50000	28	15000.6	0.2
v7	nvcc	na	na	500	1400000	1400000	28	33076.4	0.0
v7	nvcc	na	na	500	2800000	50000	56	30562.0	0.2
v7	nvcc	na	na	500	2800000	2800000	56	58606.6	0.0
v8	nvcc	na	na	500	50000	50000	1	774.4	0.2
v8	nvcc	na	na	500	100000	50000	2	1191.4	0.8
v8	nvcc	na	na	500	100000	100000	2	1317.2	0.1
v8	nvcc	na	na	500	200000	50000	4	1610.6	0.2
v8	nvcc	na	na	500	200000	200000	4	2604.6	0.0
v8	nvcc	na	na	500	400000	50000	8	3095.2	0.2
v8	nvcc	na	na	500	400000	400000	8	5497.4	0.2
v8	nvcc	na	na	500	700000	50000	14	5154.6	0.1
v8	nvcc	na	na	500	700000	700000	14	10851.2	0.3
v8	nvcc	na	na	500	1400000	50000	28	9799.0	0.0
v8	nvcc	na	na	500	1400000	1400000	28	23422.2	0.2
v8	nvcc	na	na	500	2800000	50000	56	21487.6	0.0
v8	nvcc	na	na	500	2800000	2800000	56	42687.8	0.0
v9	nvcc	na	na	500	50000	50000	1	633.6	0.1
v9	nvcc	na	na	500	100000	50000	2	1056.0	0.0
v9	nvcc	na	na	500	100000	100000	2	1188.4	0.0
v9	nvcc	na	na	500	200000	50000	4	1477.8	0.0
v9	nvcc	na	na	500	200000	200000	4	2482.6	0.0
v9	nvcc	na	na	500	400000	50000	8	2964.8	0.1
v9	nvcc	na	na	500	400000	400000	8	5356.8	0.0
v9	nvcc	na	na	500	700000	50000	14	5021.2	0.0
v9	nvcc	na	na	500	700000	700000	14	10705.2	0.2
v9	nvcc	na	na	500	1400000	50000	28	9662.0	0.0
v9	nvcc	na	na	500	1400000	1400000	28	23249.8	0.1
v9	nvcc	na	na	500	2800000	50000	56	21322.8	0.0
v9	nvcc	na	na	500	2800000	2800000	56	42515.8	0.0
