version	cc	vec	turns	points	n_rf	threads	time(ms)	std(%)
v3	icc	novec	500	1000000	1	1	5925.7	0.1
v3	icc	novec	500	2000000	1	2	8176.3	0.0
v3	icc	novec	500	4000000	1	4	5959.0	0.1
v3	icc	novec	500	8000000	1	8	6025.3	0.1
v3	icc	novec	500	14000000	1	14	6329.7	0.2
v3	icc	novec	500	28000000	1	28	9730.3	3.6
v3	icc	novec	500	56000000	1	56	19440.3	11.0
v3	icc	vec	500	1000000	1	1	1094.3	1.2
v3	icc	vec	500	2000000	1	2	1104.0	0.6
v3	icc	vec	500	4000000	1	4	1112.3	0.8
v3	icc	vec	500	8000000	1	8	1185.3	2.1
v3	icc	vec	500	14000000	1	14	1716.0	1.7
v3	icc	vec	500	28000000	1	28	4660.0	3.4
v3	icc	vec	500	56000000	1	56	8553.7	2.3
v5	g++	novec	500	1000000	1	1	9109.3	0.0
v5	g++	novec	500	2000000	1	2	9303.0	0.3
v5	g++	novec	500	4000000	1	4	9603.3	0.2
v5	g++	novec	500	8000000	1	8	10582.0	0.1
v5	g++	novec	500	14000000	1	14	13138.0	0.8
v5	g++	novec	500	28000000	1	28	24735.7	1.5
v5	g++	novec	500	56000000	1	56	65485.7	0.7
v5	g++	vec	500	1000000	1	1	2926.0	1.0
v5	g++	vec	500	2000000	1	2	3103.3	1.3
v5	g++	vec	500	4000000	1	4	3403.7	0.1
v5	g++	vec	500	8000000	1	8	4390.7	0.9
v5	g++	vec	500	14000000	1	14	6860.7	0.4
v5	g++	vec	500	28000000	1	28	17457.3	1.3
v5	g++	vec	500	56000000	1	56	53612.3	0.7
v6	g++	novec	500	1000000	1	1	12586.7	0.1
v6	g++	novec	500	2000000	1	2	12848.0	0.1
v6	g++	novec	500	4000000	1	4	9661.7	0.1
v6	g++	novec	500	8000000	1	8	14283.3	0.3
v6	g++	novec	500	14000000	1	14	13514.3	1.0
v6	g++	novec	500	28000000	1	28	26911.7	0.7
v6	g++	novec	500	56000000	1	56	73840.7	2.8
v6	g++	vec	500	1000000	1	1	11953.0	0.1
v6	g++	vec	500	2000000	1	2	12211.7	0.1
v6	g++	vec	500	4000000	1	4	9119.0	0.1
v6	g++	vec	500	8000000	1	8	13473.3	0.1
v6	g++	vec	500	14000000	1	14	12839.3	0.6
v6	g++	vec	500	28000000	1	28	25881.0	0.2
v6	g++	vec	500	56000000	1	56	74450.0	5.4
v6	icc	novec	500	1000000	1	1	8901.7	0.3
v6	icc	novec	500	2000000	1	2	8983.0	0.2
v6	icc	novec	500	4000000	1	4	9210.7	0.1
v6	icc	novec	500	8000000	1	8	9983.7	2.4
v6	icc	novec	500	14000000	1	14	10764.3	0.5
v6	icc	novec	500	28000000	1	28	14056.7	0.7
v6	icc	novec	500	56000000	1	56	29455.3	9.5
v6	icc	vec	500	1000000	1	1	1769.7	0.4
v6	icc	vec	500	2000000	1	2	1855.3	0.2
v6	icc	vec	500	4000000	1	4	2048.3	0.5
v6	icc	vec	500	8000000	1	8	2521.3	0.8
v6	icc	vec	500	14000000	1	14	3423.7	1.2
v6	icc	vec	500	28000000	1	28	5502.7	0.3
v6	icc	vec	500	56000000	1	56	17692.0	22.2
v7-p100	nvcc	na	500	1000000	1	512X64	51.0	2.8
v7-p100	nvcc	na	500	2000000	1	512X64	96.0	1.7
v7-p100	nvcc	na	500	4000000	1	512X64	182.3	0.7
v7-p100	nvcc	na	500	8000000	1	512X64	354.0	0.0
v7-p100	nvcc	na	500	14000000	1	512X64	616.0	0.1
v7-p100	nvcc	na	500	28000000	1	512X64	1233.3	0.0
v7-p100	nvcc	na	500	56000000	1	512X64	2473.3	0.1
v8-p100	nvcc	na	500	1000000	1	512X64	47.7	1.0
v8-p100	nvcc	na	500	2000000	1	512X64	85.7	0.6
v8-p100	nvcc	na	500	4000000	1	512X64	164.7	0.3
v8-p100	nvcc	na	500	8000000	1	512X64	319.7	0.1
v8-p100	nvcc	na	500	14000000	1	512X64	552.7	0.2
v8-p100	nvcc	na	500	28000000	1	512X64	1099.3	0.1
v8-p100	nvcc	na	500	56000000	1	512X64	2195.0	0.0
